,number,time,duration,screen_x,screen_y
913,914,644524,219,842,794
914,915,644863,100,878,792
915,916,645102,100,807,801
916,917,645222,140,782,808
917,918,645381,100,786,813
918,919,645800,179,831,794
919,920,646358,100,824,790
920,921,651024,100,43,236
921,922,651362,199,127,267
922,923,652160,100,20,256
923,924,652958,140,111,270
924,925,653296,100,27,262
925,926,654552,120,121,265
926,927,657424,179,248,264
927,928,659557,120,80,262
928,929,659975,518,55,280
929,930,660773,100,126,271
930,931,661451,120,103,657
931,932,661590,160,97,683
932,933,661969,219,82,616
933,934,662208,439,97,614
934,935,662946,179,58,262
935,936,663245,140,249,262
936,937,663405,120,253,273
937,938,663784,140,775,754
938,939,664521,100,750,650
939,940,664641,179,766,649
940,941,664920,100,787,686
941,942,665059,120,787,671
942,943,665917,100,765,744
943,944,666096,140,802,705
944,945,666256,120,815,746
945,946,666535,100,795,738
946,947,666914,100,842,752
947,948,668190,100,848,753
948,949,669904,120,823,706
949,950,670243,239,788,717
950,951,670642,180,790,715
951,952,670901,120,810,698
952,953,671041,120,807,701
953,954,671240,120,786,675
954,955,671380,120,816,675
955,956,671639,120,780,657
956,957,671918,100,798,649
957,958,673094,160,93,250
958,959,673314,179,260,246
959,960,673772,179,286,257
960,961,674270,339,778,849
961,962,674789,100,761,674
962,963,675008,179,724,591
963,964,675327,160,743,635
964,965,675567,120,763,599
965,966,675706,140,774,604
966,967,675925,120,807,591
967,968,676464,100,790,618
968,969,676723,120,802,630
969,970,677002,140,749,626
970,971,677261,100,763,664
971,972,677401,100,758,648
972,973,677560,120,755,646
973,974,677760,100,710,647
974,975,677879,100,696,639
975,976,678657,180,814,692
976,977,678876,159,863,678
977,978,680132,120,723,652
978,979,682924,120,26,559
979,980,683203,100,8,538
980,981,684877,159,716,555
981,982,685495,100,697,594
982,983,685655,140,698,589
983,984,685814,120,723,601
984,985,686712,219,741,584
985,986,687828,100,682,625
986,987,688227,120,752,631
987,988,689184,120,739,653
988,989,690041,299,87,803
989,990,690380,179,77,841
990,991,690878,100,217,809
991,992,691477,140,99,826
992,993,691716,100,66,831
993,994,692573,100,51,544
994,995,694447,100,109,802
995,996,697278,160,96,825
996,997,697578,120,82,837
997,998,697956,100,38,836
998,999,700150,100,728,640
999,1000,700508,120,683,637
1000,1001,701226,100,757,668
1001,1002,701924,120,787,732
1002,1003,702203,139,747,702
1003,1004,702363,140,822,731
1004,1005,702682,120,732,710
1005,1006,703280,120,73,888
1006,1007,704217,140,749,691
1007,1008,704456,100,750,657
1008,1009,709540,140,766,647
1009,1010,709700,100,734,653
1010,1011,709999,120,750,680
1011,1012,711175,100,807,716
1012,1013,712930,179,802,759
1013,1014,715422,120,108,825
1014,1015,717555,120,793,711
1015,1016,718253,140,769,831
1016,1017,718412,120,764,844
1017,1018,718552,339,791,836
1018,1019,719309,199,775,833
1019,1020,719808,100,122,872
1020,1021,720027,100,86,949
1021,1022,722619,120,29,156
1022,1023,723995,100,41,187
1023,1024,725331,140,60,313
1024,1025,726407,140,104,947
1025,1026,728600,100,740,895
1026,1027,728760,120,789,865
1027,1028,729158,179,746,874
1028,1029,729378,219,775,878
1029,1030,730474,100,96,952
1030,1031,734342,100,763,860
1031,1032,735259,120,768,844
1032,1033,736376,100,788,813
